Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
left ovary,left ovary,,,,,,,,,,,,,,reproductive system,1,0,2424,left ovary
left oviduct,left oviduct,,,,,,,,,,,,,,reproductive system,1,0,2425,left oviduct
left renal artery,left renal artery,,,,,,,,,,,,,,renal/urinary system,1,0,2281,left renal artery
left renal vein,left renal vein,,,,,,,,,,,,,,renal/urinary system,1,0,2282,left renal vein
left testis,left testis,,,,,,,,,,,,,,reproductive system,1,0,2426,left testis
left ureter,left ureter,,,,,,,,,,,,,,renal/urinary system,1,0,2283,left ureter
left uterine horn,left uterine horn,,,,,,,,,,,,,,reproductive system,1,0,2427,left uterine horn
left vagus X nerve trunk,left vagus X nerve trunk,,,,,,,,,,,,,,nervous system,1,0,1959,left vagus X nerve trunk
leg nerve,leg nerve,,,,,,,,,,,,,,nervous system,1,0,1960,leg nerve
ear skin,ear skin,Skin.ear,,,,,,,,,,,,,integumental system,2,78,1108,skin
lens anterior epithelium,lens anterior epithelium,,,,,,,,,,,,,,sensory organ system,1,0,2856,lens anterior epithelium
lens capsule,lens capsule,,,,,,,,,,,,,,sensory organ system,1,0,2857,lens capsule
lens epithelium,lens epithelium,,,,,,,,,,,,,,sensory organ system,1,0,2858,lens epithelium
lens equatorial epithelium,lens equatorial epithelium,,,,,,,,,,,,,,sensory organ system,1,0,2859,lens equatorial epithelium
lens fiber,lens fiber,,,,,,,,,,,,,,sensory organ system,1,0,2860,lens fiber
lentiform nucleus,lentiform nucleus,,,,,,,,,,,,,,nervous system,1,0,1961,lentiform nucleus
levator palpebrae superioris,levator palpebrae superioris,,,,,,,,,,,,,,sensory organ system,1,0,2861,levator palpebrae superioris
limb nerve,limb nerve,,,,,,,,,,,,,,nervous system,1,0,1962,limb nerve
limbus lamina spiralis,limbus lamina spiralis,,,,,,,,,,,,,,sensory organ system,1,0,2862,limbus lamina spiralis
lingual tonsillar tissue,lingual tonsillar tissue,,,,,,,,,,,,,,respiratory system,1,0,2580,lingual tonsillar tissue
foot skin,foot skin,Skin.foot,,,,,,,,,,,,,integumental system,2,89,1121,skin
lobar bronchus,lobar bronchus,,,,,,,,,,,,,,respiratory system,1,0,2581,lobar bronchus
lobar bronchus connective tissue,lobar bronchus connective tissue,,,,,,,,,,,,,,respiratory system,1,0,2582,lobar bronchus connective tissue
lobar bronchus epithelium,lobar bronchus epithelium,,,,,,,,,,,,,,respiratory system,1,0,2583,lobar bronchus epithelium
locus coeruleus,locus coeruleus,,,,,,,,,,,,,,nervous system,1,0,1963,locus coeruleus
loop of henle,loop of henle,,,,,,,,,,,,,,renal/urinary system,1,0,2284,loop of henle
loop of henle ascending limb,loop of henle ascending limb,,,,,,,,,,,,,,renal/urinary system,1,0,2285,loop of henle ascending limb
loop of henle ascending limb thick segment,loop of henle ascending limb thick segment,,,,,,,,,,,,,,renal/urinary system,1,0,2286,loop of henle ascending limb thick segment
loop of henle ascending limb thin segment,loop of henle ascending limb thin segment,,,,,,,,,,,,,,renal/urinary system,1,0,2287,loop of henle ascending limb thin segment
loop of henle bend,loop of henle bend,,,,,,,,,,,,,,renal/urinary system,1,0,2288,loop of henle bend
loop of henle descending limb,loop of henle descending limb,,,,,,,,,,,,,,renal/urinary system,1,0,2289,loop of henle descending limb
loop of henle thin descending limb,loop of henle thin descending limb,,,,,,,,,,,,,,renal/urinary system,1,0,2290,loop of henle thin descending limb
lower arm nerve,lower arm nerve,,,,,,,,,,,,,,nervous system,1,0,1964,lower arm nerve
lower back nerve,lower back nerve,,,,,,,,,,,,,,nervous system,1,0,1965,lower back nerve
lower eyelid,lower eyelid,,,,,,,,,,,,,,sensory organ system,1,0,2863,lower eyelid
lower jaw incisor,lower jaw incisor,,,,,,,,,,,,,,respiratory system,1,0,2584,lower jaw incisor
lower jaw molar,lower jaw molar,,,,,,,,,,,,,,respiratory system,1,0,2585,lower jaw molar
lower leg nerve,lower leg nerve,,,,,,,,,,,,,,nervous system,1,0,1966,lower leg nerve
lower respiratory tract,lower respiratory tract,,,,,,,,,,,,,,respiratory system,1,0,2586,lower respiratory tract
lower respiratory tract cartilage,lower respiratory tract cartilage,,,,,,,,,,,,,,respiratory system,1,0,2587,lower respiratory tract cartilage
lower respiratory tract connective tissue,lower respiratory tract connective tissue,,,,,,,,,,,,,,respiratory system,1,0,2588,lower respiratory tract connective tissue
lower respiratory tract epithelium,lower respiratory tract epithelium,,,,,,,,,,,,,,respiratory system,1,0,2589,lower respiratory tract epithelium
lower respiratory tract smooth muscle,lower respiratory tract smooth muscle,,,,,,,,,,,,,,respiratory system,1,0,2590,lower respiratory tract smooth muscle
lower urinary tract,lower urinary tract,,,,,,,,,,,,,,renal/urinary system,1,0,2291,lower urinary tract
lumbar sympathetic nerve trunk,lumbar sympathetic nerve trunk,,,,,,,,,,,,,,nervous system,1,0,1967,lumbar sympathetic nerve trunk
lumbosacral plexus,lumbosacral plexus,,,,,,,,,,,,,,nervous system,1,0,1968,lumbosacral plexus
foot digit skin,foot digit skin,Skin.foot.digit.right.foot,,,,,,,,,,,,,integumental system,2,90,1120,skin
foot skin,foot skin,Skin.foot.plantar,,,,,,,,,,,,,integumental system,2,89,1121,skin
lung alveolus,lung alveolus,,,,,,,,,,,,,,respiratory system,1,0,2592,lung alveolus
lung caudalis,lung caudalis,,,,,,,,,,,,,,respiratory system,2,149,2594,lung
lung connective tissue,lung connective tissue,,,,,,,,,,,,,,respiratory system,1,0,2595,lung connective tissue
lung cranial lobe,lung cranial lobe,,,,,,,,,,,,,,respiratory system,2,147,2596,lung
lung epithelium,lung epithelium,,,,,,,,,,,,,,respiratory system,1,0,2597,lung epithelium
lower arm skin,lower arm skin,Skin.forearm,,,,,,,,,,,,,integumental system,1,0,1145,lower arm skin
adipose tissue white subcutaneous,subcutaneous adipose tissue,,,,,,,Adipose_Subcutaneous,Adipose - Subcutaneous,,,,,,integumental system,1,0,593,adipose tissue
substantia nigra,substantia nigra,,,,,,,Brain_Substantia_nigra,Brain - Substantia nigra,,,substantianigra,,,nervous system,1,0,2146,brain
subthalamic nucleus,subthalamic nucleus,,,,,,,,,,,,,SubthalamicNucleus,nervous system,1,0,2150,brain
macula,macula,,,,,,,,,,,,,,sensory organ system,1,0,2864,macula
macula densa,macula densa,,,,,,,,,,,,,,renal/urinary system,1,0,2292,macula densa
macula of saccule,macula of saccule,,,,,,,,,,,,,,sensory organ system,1,0,2865,macula of saccule
macula of utricle,macula of utricle,,,,,,,,,,,,,,sensory organ system,1,0,2866,macula of utricle
magnocellular nucleus,magnocellular nucleus,,,,,,,,,,,,,,nervous system,1,0,1969,magnocellular nucleus
main bronchus,main bronchus,,,,,,,,,,,,,,respiratory system,1,0,2601,main bronchus
main bronchus blood vessel,main bronchus blood vessel,,,,,,,,,,,,,,respiratory system,1,0,2602,main bronchus blood vessel
main bronchus cartilage,main bronchus cartilage,,,,,,,,,,,,,,respiratory system,1,0,2603,main bronchus cartilage
main bronchus connective tissue,main bronchus connective tissue,,,,,,,,,,,,,,respiratory system,1,0,2604,main bronchus connective tissue
main bronchus epithelium,main bronchus epithelium,,,,,,,,,,,,,,respiratory system,1,0,2605,main bronchus epithelium
main bronchus smooth muscle,main bronchus smooth muscle,,,,,,,,,,,,,,respiratory system,1,0,2606,main bronchus smooth muscle
major calyx,major calyx,,,,,,,,,,,,,,renal/urinary system,1,0,2293,major calyx
major salivary gland,major salivary gland,,,,,,,,,,,,,,respiratory system,1,0,2607,major salivary gland
male germ cell,male germ cell,,,,,,,,,,,,,,reproductive system,1,0,2428,male germ cell
male membranous urethra,male membranous urethra,,,,,,,,,,,,,,renal/urinary system,1,0,2294,male membranous urethra
male preputial gland,male preputial gland,,,,,,,,,,,,,,reproductive system,1,0,2429,male preputial gland
male reproductive gland,male reproductive gland,,,,,,,,,,,,,,reproductive system,1,0,2430,male reproductive gland
male reproductive gland/organ,male reproductive gland/organ,,,,,,,,,,,,,,reproductive system,1,0,2431,male reproductive gland/organ
male reproductive system,male reproductive system,,,,,,,,,,,,,,reproductive system,1,0,2432,male reproductive system
male urethra,male urethra,,,,,,,,,,,,,,renal/urinary system,1,0,2295,male urethra
male urethra ostium,male urethra ostium,,,,,,,,,,,,,,renal/urinary system,1,0,2296,male urethra ostium
malleus,malleus,,,,,,,,,,,,,,sensory organ system,1,0,2867,malleus
mammillary body,mammillary body,,,,,,,,,,,,,,nervous system,1,0,1970,mammillary body
mandible,mandible,,,,,,,,,,,,,,respiratory system,1,0,2608,mandible
mandible petrous part,mandible petrous part,,,,,,,,,,,,,,respiratory system,1,0,2609,mandible petrous part
mandible squamous part,mandible squamous part,,,,,,,,,,,,,,respiratory system,1,0,2610,mandible squamous part
maxilla,maxilla,,,,,,,,,,,,,,respiratory system,1,0,2611,maxilla
maxilla alveolar process,maxilla alveolar process,,,,,,,,,,,,,,respiratory system,1,0,2612,maxilla alveolar process
maxillary sinus,maxillary sinus,,,,,,,,,,,,,,respiratory system,1,0,2613,maxillary sinus
meckel's cartilage,meckel's cartilage,,,,,,,,,,,,,,respiratory system,1,0,2614,meckel's cartilage
medial cerebellar nucleus,medial cerebellar nucleus,,,,,,,,,,,,,,nervous system,1,0,1971,medial cerebellar nucleus
medial entorhinal cortex,medial entorhinal cortex,,,,,,,,,,,,,,nervous system,2,107,1972,brain
medial geniculate nucleus,medial geniculate nucleus,,,,,,,,,,,,,,nervous system,1,0,1973,medial geniculate nucleus
medial globus pallidus,medial globus pallidus,,,,,,,,,,,,,,nervous system,1,0,1974,medial globus pallidus
medial habenular nucleus,medial habenular nucleus,,,,,,,,,,,,,,nervous system,1,0,1975,medial habenular nucleus
medial mammillary nucleus,medial mammillary nucleus,,,,,,,,,,,,,,nervous system,1,0,1976,medial mammillary nucleus
medial palpebral ligament,medial palpebral ligament,,,,,,,,,,,,,,sensory organ system,1,0,2868,medial palpebral ligament
medial preoptic nucleus,medial preoptic nucleus,,,,,,,,,,,,,,nervous system,1,0,1977,medial preoptic nucleus
medial preoptic region,medial preoptic region,,,,,,,,,,,,,,nervous system,1,0,1978,medial preoptic region
medial rectus extraocular muscle,medial rectus extraocular muscle,,,,,,,,,,,,,,sensory organ system,1,0,2869,medial rectus extraocular muscle
medial septal complex,medial septal complex,,,,,,,,,,,,,,nervous system,1,0,1979,medial septal complex
medial septal nucleus,medial septal nucleus,,,,,,,,,,,,,,nervous system,1,0,1980,medial septal nucleus
medial thalamic group,medial thalamic group,,,,,,,,,,,,,,nervous system,1,0,1981,medial thalamic group
medial vestibular nucleus,medial vestibular nucleus,,,,,,,,,,,,,,nervous system,1,0,1982,medial vestibular nucleus
median eminence,median eminence,,,,,,,,,,,,,,nervous system,1,0,1983,median eminence
median nerve,median nerve,,,,,,,,,,,,,,nervous system,1,0,1984,median nerve
superior cervical ganglion,superior cervical ganglion,,,,,,,,,,,,,SuperiorCervicalGanglion,nervous system,1,0,2152,superior cervical ganglion
medullary reticular nucleus,medullary reticular nucleus,,,,,,,,,,,,,,nervous system,1,0,1986,medullary reticular nucleus
meibomian gland,meibomian gland,,,,,,,,,,,,,,sensory organ system,1,0,2870,meibomian gland
membranous labyrinth,membranous labyrinth,,,,,,,,,,,,,,sensory organ system,1,0,2871,membranous labyrinth
membranous urethra,membranous urethra,,,,,,,,,,,,,,renal/urinary system,1,0,2297,membranous urethra
meninges,meninges,,,,,,,,,,,,,,nervous system,1,0,1987,meninges
mesangium,mesangium,,,,,,,,,,,,,,renal/urinary system,1,0,2298,mesangium
metencephalon,metencephalon,,,,,,,,,,,,,,nervous system,1,0,1988,metencephalon
midbrain,midbrain,,,,,,,,,,,,,,nervous system,1,0,1989,midbrain
midbrain arachnoid mater,midbrain arachnoid mater,,,,,,,,,,,,,,nervous system,1,0,1990,midbrain arachnoid mater
midbrain dura mater,midbrain dura mater,,,,,,,,,,,,,,nervous system,1,0,1991,midbrain dura mater
midbrain meninges,midbrain meninges,,,,,,,,,,,,,,nervous system,1,0,1992,midbrain meninges
midbrain periaqueductal grey,midbrain periaqueductal grey,,,,,,,,,,,,,,nervous system,1,0,1993,midbrain periaqueductal grey
midbrain pia mater,midbrain pia mater,,,,,,,,,,,,,,nervous system,1,0,1994,midbrain pia mater
middle cerebellar peduncle,middle cerebellar peduncle,,,,,,,,,,,,,,nervous system,1,0,1995,middle cerebellar peduncle
middle cervical ganglion,middle cervical ganglion,,,,,,,,,,,,,,nervous system,1,0,1996,middle cervical ganglion
middle ear,middle ear,,,,,,,,,,,,,,sensory organ system,1,0,2872,middle ear
midline thalamic group,midline thalamic group,,,,,,,,,,,,,,nervous system,1,0,1997,midline thalamic group
minor calyx,minor calyx,,,,,,,,,,,,,,renal/urinary system,1,0,2299,minor calyx
minor salivary gland,minor salivary gland,,,,,,,,,,,,,,respiratory system,1,0,2615,minor salivary gland
modiolus,modiolus,,,,,,,,,,,,,,sensory organ system,1,0,2873,modiolus
molar,molar,,,,,,,,,,,,,,respiratory system,1,0,2616,molar
myelencephalon,myelencephalon,,,,,,,,,,,,,,nervous system,1,0,1998,myelencephalon
myenteric nerve plexus,myenteric nerve plexus,,,,,,,,,,,,,,nervous system,1,0,1999,myenteric nerve plexus
myometrium,myometrium,,,,,,,,,,,,,,reproductive system,1,0,2433,myometrium
myometrium inner circular layer,myometrium inner circular layer,,,,,,,,,,,,,,reproductive system,1,0,2434,myometrium inner circular layer
myometrium outer longitudinal layer,myometrium outer longitudinal layer,,,,,,,,,,,,,,reproductive system,1,0,2435,myometrium outer longitudinal layer
naris,naris,,,,,,,,,,,,,,respiratory system,1,0,2617,naris
naris,naris,,,,,,,,,,,,,,sensory organ system,1,0,2874,naris
nasal capsule,nasal capsule,,,,,,,,,,,,,,respiratory system,1,0,2618,nasal capsule
nasal capsule,nasal capsule,,,,,,,,,,,,,,sensory organ system,1,0,2875,nasal capsule
nasal cavity,nasal cavity,,,,,,,,,,,,,,respiratory system,1,0,2619,nasal cavity
nasal cavity,nasal cavity,,,,,,,,,,,,,,sensory organ system,1,0,2876,nasal cavity
hand digit skin,hand digit skin,Skin.hand.digit.right.hand,,,,,,,,,,,,,integumental system,2,85,1133,skin
nasal cavity olfactory epithelium,nasal cavity olfactory epithelium,,,,,,,,,,,,,,respiratory system,1,0,2621,nasal cavity olfactory epithelium
nasal cavity olfactory epithelium,nasal cavity olfactory epithelium,,,,,,,,,,,,,,sensory organ system,1,0,2878,nasal cavity olfactory epithelium
nasal cavity respiratory epithelium,nasal cavity respiratory epithelium,,,,,,,,,,,,,,respiratory system,1,0,2622,nasal cavity respiratory epithelium
nasal cavity respiratory epithelium,nasal cavity respiratory epithelium,,,,,,,,,,,,,,sensory organ system,1,0,2879,nasal cavity respiratory epithelium
nasal septum,nasal septum,,,,,,,,,,,,,,respiratory system,1,0,2623,nasal septum
nasal septum,nasal septum,,,,,,,,,,,,,,sensory organ system,1,0,2880,nasal septum
nasal turbinate,nasal turbinate,,,,,,,,,,,,,,respiratory system,1,0,2624,nasal turbinate
nasal turbinate,nasal turbinate,,,,,,,,,,,,,,sensory organ system,1,0,2881,nasal turbinate
nasolacrimal duct,nasolacrimal duct,,,,,,,,,,,,,,sensory organ system,1,0,2882,nasolacrimal duct
nasopharyngeal tonsil,nasopharyngeal tonsil,,,,,,,,,,,,,,respiratory system,1,0,2625,nasopharyngeal tonsil
nasopharynx,nasopharynx,,,,,,,,,,,,,,respiratory system,1,0,2626,nasopharynx
nasopharynx connective tissue,nasopharynx connective tissue,,,,,,,,,,,,,,respiratory system,1,0,2627,nasopharynx connective tissue
nasopharynx epithelium,nasopharynx epithelium,,,,,,,,,,,,,,respiratory system,1,0,2628,nasopharynx epithelium
neocortex,neocortex,,,,,,,,,,,,,,nervous system,1,0,2000,neocortex
neocortex layer,neocortex layer,,,,,,,,,,,,,,nervous system,1,0,2001,neocortex layer
neocortex region,neocortex region,,,,,,,,,,,,,,nervous system,1,0,2002,neocortex region
nephron,nephron,,,,,,,,,,,,,,renal/urinary system,1,0,2300,nephron
nerve,nerve,,,,,,,,,,,,,,nervous system,1,127,2003,nerve
nerve plexus,nerve plexus,,,,,,,,,,,,,,nervous system,1,0,2004,nerve plexus
nerve trunk,nerve trunk,,,,,,,,,,,,,,nervous system,1,0,2005,nerve trunk
neural retinal epithelium,neural retinal epithelium,,,,,,,,,,,,,,sensory organ system,1,0,2883,neural retinal epithelium
nictitating membrane,nictitating membrane,,,,,,,,,,,,,,sensory organ system,1,0,2884,nictitating membrane
nictitating membrane gland,nictitating membrane gland,,,,,,,,,,,,,,sensory organ system,1,0,2885,nictitating membrane gland
nose,nose,,,,,,,,,,,,,,respiratory system,1,0,2629,nose
nose,nose,,,,,,,,,,,,,,sensory organ system,1,0,2886,nose
nose epithelial cells,,Nose.epithelial.cells,,,,,,,,,,,,,sensory organ system,1,0,2886,nose
nucleus ambiguus,nucleus ambiguus,,,,,,,,,,,,,,nervous system,1,0,2007,nucleus ambiguus
nucleus approprius,nucleus approprius,,,,,,,,,,,,,,nervous system,1,0,2008,nucleus approprius
nucleus of darkschewitsch,nucleus of darkschewitsch,,,,,,,,,,,,,,nervous system,1,0,2009,nucleus of darkschewitsch
nucleus of diagonal band,nucleus of diagonal band,,,,,,,,,,,,,,nervous system,1,0,2010,nucleus of diagonal band
nucleus of trapezoid body,nucleus of trapezoid body,,,,,,,,,,,,,,nervous system,1,0,2011,nucleus of trapezoid body
nucleus related to visual cortex,nucleus related to visual cortex,,,,,,,,,,,,,,nervous system,1,0,2012,nucleus related to visual cortex
nucleus reuniens,nucleus reuniens,,,,,,,,,,,,,,nervous system,1,0,2013,nucleus reuniens
oblique extraocular muscle,oblique extraocular muscle,,,,,,,,,,,,,,sensory organ system,1,0,2888,oblique extraocular muscle
temporal cortex,temporal cortex,,,,,,,,,,TemporalLobe,,,TemporalLobe,nervous system,1,0,2173,brain
ocular refractive media,ocular refractive media,,,,,,,,,,,,,,sensory organ system,1,0,2889,ocular refractive media
ocular smooth muscle,ocular smooth muscle,,,,,,,,,,,,,,sensory organ system,1,0,2890,ocular smooth muscle
oculomotor III nerve,oculomotor III nerve,,,,,,,,,,,,,,nervous system,1,0,2015,oculomotor III nerve
oculomotor III nucleus,oculomotor III nucleus,,,,,,,,,,,,,,nervous system,1,0,2016,oculomotor III nucleus
oculomotor muscle,oculomotor muscle,,,,,,,,,,,,,,sensory organ system,1,0,2891,oculomotor muscle
nose skin,nose skin,Skin.nose,,,,,,,,,,,,,integumental system,2,79,1162,skin
testis interstitial tissue,testis interstitial tissue,,,,,,,,,,,,,TestisIntersitial,reproductive system,1,0,2483,testis
skin scapular,,Skin.scapular,,,,"Skin,_scapular",,,,,,,,,integumental system,,,,skin
olfactory bulb external plexiform layer,olfactory bulb external plexiform layer,,,,,,,,,,,,,,nervous system,1,0,2019,olfactory bulb external plexiform layer
olfactory bulb glomerular layer,olfactory bulb glomerular layer,,,,,,,,,,,,,,nervous system,1,0,2020,olfactory bulb glomerular layer
olfactory bulb granule cell layer,olfactory bulb granule cell layer,,,,,,,,,,,,,,nervous system,1,0,2021,olfactory bulb granule cell layer
olfactory bulb internal plexiform layer,olfactory bulb internal plexiform layer,,,,,,,,,,,,,,nervous system,1,0,2022,olfactory bulb internal plexiform layer
olfactory bulb mitral cell layer,olfactory bulb mitral cell layer,,,,,,,,,,,,,,nervous system,1,0,2023,olfactory bulb mitral cell layer
olfactory bulb subependymal zone,olfactory bulb subependymal zone,,,,,,,,,,,,,,nervous system,1,0,2024,olfactory bulb subependymal zone
olfactory cortex,olfactory cortex,,,,,,,,,,,,,,nervous system,1,0,2025,olfactory cortex
olfactory gland,olfactory gland,,,,,,,,,,,,,,respiratory system,1,0,2631,olfactory gland
olfactory gland,olfactory gland,,,,,,,,,,,,,,sensory organ system,1,0,2892,olfactory gland
olfactory I nerve,olfactory I nerve,,,,,,,,,,,,,,nervous system,1,0,2017,olfactory I nerve
olfactory lobe,olfactory lobe,,,,,,,,,,,,,,nervous system,1,0,2026,olfactory lobe
olfactory receptor nerve,olfactory receptor nerve,,,,,,,,,,,,,,respiratory system,1,0,2632,olfactory receptor nerve
olfactory receptor nerve,olfactory receptor nerve,,,,,,,,,,,,,,sensory organ system,1,0,2893,olfactory receptor nerve
olfactory system,olfactory system,,,,,,,,,,,,,,sensory organ system,1,0,2894,olfactory system
olfactory tract,olfactory tract,,,,,,,,,,,,,,nervous system,1,0,2027,olfactory tract
olfactory tubercle,olfactory tubercle,,,,,,,,,,,,,,nervous system,1,0,2028,olfactory tubercle
optic chiasm,optic chiasm,,,,,,,,,,,,,,nervous system,1,0,2029,optic chiasm
optic chiasm,optic chiasm,,,,,,,,,,,,,,sensory organ system,1,0,2895,optic chiasm
optic disc,optic disc,,,,,,,,,,,,,,sensory organ system,1,0,2896,optic disc
snout skin,snout skin,Skin.snout,,,,,,,,,,,,,integumental system,2,80,1175,skin
optic tract,optic tract,,,,,,,,,,,,,,nervous system,1,0,2031,optic tract
optic tract,optic tract,,,,,,,,,,,,,,sensory organ system,1,0,2898,optic tract
oral epithelium,oral epithelium,,,,,,,,,,,,,,respiratory system,1,0,2633,oral epithelium
oral region,oral region,,,,,,,,,,,,,,respiratory system,1,0,2634,oral region
oral region cartilage/bone,oral region cartilage/bone,,,,,,,,,,,,,,respiratory system,1,0,2635,oral region cartilage/bone
orbicularis oculi,orbicularis oculi,,,,,,,,,,,,,,sensory organ system,1,0,2899,orbicularis oculi
orbitalis muscle,orbitalis muscle,,,,,,,,,,,,,,sensory organ system,1,0,2901,orbitalis muscle
orbital septum,orbital septum,,,,,,,,,,,,,,sensory organ system,1,0,2900,orbital septum
oropharynx,oropharynx,,,,,,,,,,,,,,respiratory system,1,0,2636,oropharynx
oropharynx epithelium,oropharynx epithelium,,,,,,,,,,,,,,respiratory system,1,0,2637,oropharynx epithelium
os clitoris,os clitoris,,,,,,,,,,,,,,reproductive system,1,0,2436,os clitoris
os penis,os penis,,,,,,,,,,,,,,reproductive system,1,0,2437,os penis
osseus cochlea,osseus cochlea,,,,,,,,,,,,,,sensory organ system,1,0,2902,osseus cochlea
osseus cochlear canal,osseus cochlear canal,,,,,,,,,,,,,,sensory organ system,1,0,2903,osseus cochlear canal
osseus labyrinth vestibule,osseus labyrinth vestibule,,,,,,,,,,,,,,sensory organ system,1,0,2904,osseus labyrinth vestibule
osseus semicircular canal,osseus semicircular canal,,,,,,,,,,,,,,sensory organ system,1,0,2905,osseus semicircular canal
osseus spiral lamina,osseus spiral lamina,,,,,,,,,,,,,,sensory organ system,1,0,2906,osseus spiral lamina
otic capsule,otic capsule,,,,,,,,,,,,,,sensory organ system,1,0,2907,otic capsule
outer canthus,outer canthus,,,,,,,,,,,,,,sensory organ system,1,0,2908,outer canthus
outer ear,outer ear,,,,,,,,,,,,,,sensory organ system,1,0,2909,outer ear
outer medulla inner stripe,outer medulla inner stripe,,,,,,,,,,,,,,renal/urinary system,1,0,2301,outer medulla inner stripe
outer medulla inner stripe loop of henle,outer medulla inner stripe loop of henle,,,,,,,,,,,,,,renal/urinary system,1,0,2302,outer medulla inner stripe loop of henle
outer medulla outer stripe,outer medulla outer stripe,,,,,,,,,,,,,,renal/urinary system,1,0,2303,outer medulla outer stripe
outer medulla outer stripe loop of henle,outer medulla outer stripe loop of henle,,,,,,,,,,,,,,renal/urinary system,1,0,2304,outer medulla outer stripe loop of henle
outer renal cortex,outer renal cortex,,,,,,,,,,,,,,renal/urinary system,1,0,2305,outer renal cortex
outer renal medulla,outer renal medulla,,,,,,,,,,,,,,renal/urinary system,1,0,2306,outer renal medulla
outer renal medulla collecting duct,outer renal medulla collecting duct,,,,,,,,,,,,,,renal/urinary system,1,0,2307,outer renal medulla collecting duct
outer renal medulla interstitium,outer renal medulla interstitium,,,,,,,,,,,,,,renal/urinary system,1,0,2308,outer renal medulla interstitium
outer renal medulla peritubular capillary,outer renal medulla peritubular capillary,,,,,,,,,,,,,,renal/urinary system,1,0,2309,outer renal medulla peritubular capillary
outer renal medulla vasa recta,outer renal medulla vasa recta,,,,,,,,,,,,,,renal/urinary system,1,0,2310,outer renal medulla vasa recta
oval nucleus,oval nucleus,,,,,,,,,,,,,,nervous system,1,0,2032,oval nucleus
tail skin,tail skin,Skin.tail,,,,,,,,,,,,,integumental system,2,91,1178,skin
ovary capsule,ovary capsule,,,,,,,,,,,,,,reproductive system,1,0,2439,ovary capsule
ovary corpus luteum,ovary corpus luteum,,,,,,,,,,,,,,reproductive system,1,0,2440,ovary corpus luteum
ovary follicle,ovary follicle,,,,,,,,,,,,,,reproductive system,1,0,2441,ovary follicle
ovary germinal epithelium,ovary germinal epithelium,,,,,,,,,,,,,,reproductive system,1,0,2442,ovary germinal epithelium
ovary growing follicle,ovary growing follicle,,,,,,,,,,,,,,reproductive system,1,0,2443,ovary growing follicle
ovary mature follicle,ovary mature follicle,,,,,,,,,,,,,,reproductive system,1,0,2444,ovary mature follicle
ovary primordial follicle,ovary primordial follicle,,,,,,,,,,,,,,reproductive system,1,0,2445,ovary primordial follicle
ovary stratum granulosum,ovary stratum granulosum,,,,,,,,,,,,,,reproductive system,1,0,2446,ovary stratum granulosum
ovary theca,ovary theca,,,,,,,,,,,,,,reproductive system,1,0,2447,ovary theca
ovary theca externa,ovary theca externa,,,,,,,,,,,,,,reproductive system,1,0,2448,ovary theca externa
ovary theca interna,ovary theca interna,,,,,,,,,,,,,,reproductive system,1,0,2449,ovary theca interna
oviduct,oviduct,,,,,,,,,,,,,,reproductive system,1,0,2450,oviduct
oviduct epithelium,oviduct epithelium,,,,,,,,,,,,,,reproductive system,1,0,2451,oviduct epithelium
oviduct smooth muscle,oviduct smooth muscle,,,,,,,,,,,,,,reproductive system,1,0,2452,oviduct smooth muscle
palatal shelf,palatal shelf,,,,,,,,,,,,,,respiratory system,1,0,2638,palatal shelf
palatine gland,palatine gland,,,,,,,,,,,,,,respiratory system,1,0,2639,palatine gland
palatine tonsil,palatine tonsil,,,,,,,,,,,,,,respiratory system,1,0,2640,palatine tonsil
pallidum,pallidum,,,,,,,,,,,,,,nervous system,1,0,2033,pallidum
palpebral conjunctiva,palpebral conjunctiva,,,,,,,,,,,,,,sensory organ system,1,0,2910,palpebral conjunctiva
palpebral fissure,palpebral fissure,,,,,,,,,,,,,,sensory organ system,1,0,2911,palpebral fissure
papillary duct,papillary duct,,,,,,,,,,,,,,renal/urinary system,1,0,2311,papillary duct
parabigeminal nucleus,parabigeminal nucleus,,,,,,,,,,,,,,nervous system,1,0,2034,parabigeminal nucleus
parabrachial nucleus,parabrachial nucleus,,,,,,,,,,,,,,nervous system,1,0,2035,parabrachial nucleus
paracentral nucleus,paracentral nucleus,,,,,,,,,,,,,,nervous system,1,0,2036,paracentral nucleus
parafascicular nucleus,parafascicular nucleus,,,,,,,,,,,,,,nervous system,1,0,2037,parafascicular nucleus
paranasal sinus,paranasal sinus,,,,,,,,,,,,,,respiratory system,1,0,2641,paranasal sinus
parasympathetic ganglion,parasympathetic ganglion,,,,,,,,,,,,,,nervous system,1,0,2038,parasympathetic ganglion
parasympathetic nerve,parasympathetic nerve,,,,,,,,,,,,,,nervous system,1,0,2039,parasympathetic nerve
parasympathetic nervous system,parasympathetic nervous system,,,,,,,,,,,,,,nervous system,1,0,2040,parasympathetic nervous system
paraventricular hypothalamic nucleus,paraventricular hypothalamic nucleus,,,,,,,,,,,,,,nervous system,1,0,2041,paraventricular hypothalamic nucleus
